"","brand","price","storage","inch","os"
"1","CHUWI Intel Core i3 12th Gen 1220P - (8 GB/512 GB SSD/Windows 11 Home) Corebook X i3 Laptop","₹25,990","8 GB DDR4 RAM","8 GB DDR4 RAM","Windows 11 Home Operating System"
"2","CHUWI Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) CoreBook X_Pro Laptop","₹33,990","16 GB DDR4 RAM","16 GB DDR4 RAM","Windows 11 Home Operating System"
"3","Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) A324-45 Thin and Light...","₹22,990","8 GB LPDDR4X RAM","8 GB LPDDR4X RAM","Windows 11 Operating System"
"4","HP G9 Intel Core i3 13th Gen 1315U Turbo Boost with Finger Print - (16 GB/512 GB SSD/Windows 11 Pro) 2...","₹34,490","16 GB DDR4 RAM","16 GB DDR4 RAM","64 bit Windows 11 Operating System"
"5","ASUS Vivobook Go 15 OLED AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK321...","₹34,990","8 GB LPDDR5 RAM","8 GB LPDDR5 RAM","Windows 11 Operating System"
"6","CHUWI Intel Core i3 12th Gen Intel Core i3-1215U - (12 GB/512 GB SSD/Windows 11 Home) FreeBook 2 in 1 ...","₹34,990","Processor: Cutting-edge Intel i3 12th Gen processor, LPDDR4 12GB RAM, 512GB SSD Storage","Processor: Cutting-edge Intel i3 12th Gen processor, LPDDR4 12GB RAM, 512GB SSD Storage","Graphics: Intel integrated UHD Graphics GPU"
"7","Lenovo V 15 (2025) Intel Celeron Dual Core N4500 - (8 GB/256 GB SSD/Windows 11 Home) V 15 Thin and Lig...","₹21,490","8 GB DDR4 RAM","8 GB DDR4 RAM","64 bit Windows 11 Home Operating System"
"8","ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Ho...","₹30,990","8 GB DDR4 RAM","8 GB DDR4 RAM","Windows 11 Operating System"
"9","Thomson NEO Core Series Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) IN-N15I Thin ...","₹21,990","8 GB LPDDR4 RAM","8 GB LPDDR4 RAM","Windows 11 Operating System"
"10","ASUS Vivobook Go 15 OLED AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK322...","₹34,990","8 GB LPDDR5 RAM","8 GB LPDDR5 RAM","Windows 11 Operating System"
"11","HP 250R G9 (2024) Intel Core i3 13th Gen Intel Core i3 - 1315U (13th Gen) - (8 GB/512 GB SSD/Windows 1...","₹32,990","8 GB DDR4 RAM","8 GB DDR4 RAM","Windows 11 Home Operating System"
"12","Thomson NEO Core Series Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) IN-N15I Thin ...","₹21,990","8 GB LPDDR4 RAM","8 GB LPDDR4 RAM","Windows 11 Operating System"
"13","ASUS ExpertBook B14 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) B1402CBA-NK1494WS...","₹30,990","8 GB DDR4 RAM","8 GB DDR4 RAM","Windows 11 Operating System"
"14","Acer Aspire Lite AMD Ryzen 5 Hexa Core 5625U - (16 GB/1 TB SSD/Windows 11 Home) AL15-41 Thin and Light...","₹37,990","16 GB DDR4 RAM","16 GB DDR4 RAM","Windows 11 Operating System"
"15","DELL Intel Celeron Quad Core - (8 GB/256 GB SSD/Windows 11 Pro) 5470 Thin and Light Laptop","₹20,787","8 GB DDR4 RAM","8 GB DDR4 RAM","Windows 11 Operating System"
"16","ASUS Chromebook Intel Celeron Dual Core N4500 - (8 GB/128 GB EMMC Storage/Chrome OS) CX1500CKA-NJ0395 ...","₹20,990","8 GB LPDDR4X RAM","8 GB LPDDR4X RAM","Chrome Operating System"
"17","ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ132WS Th...","₹36,990","8 GB LPDDR5 RAM","8 GB LPDDR5 RAM","Windows 11 Home Operating System"
"18","HP 15s AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s-eq2143au Thin and Light Lap...","₹29,990","8 GB DDR4 RAM","8 GB DDR4 RAM","64 bit Windows 11 Operating System"
"19","HP 15 G10 (2025) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15 G10 Thin and Light...","₹27,900","8 GB DDR4 RAM","8 GB DDR4 RAM","64 bit Windows 11 Home Operating System"
"20","ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ5541WS ...","₹39,990","16 GB LPDDR5 RAM","16 GB LPDDR5 RAM","Windows 11 Home Operating System"
"21","Acer One Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and Ligh...","₹28,990","8 GB DDR4 RAM","8 GB DDR4 RAM","64 bit Windows 11 Operating System"
"22","Lenovo V15 AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) V15 Thin and Light Laptop","₹34,990","16 GB DDR4 RAM","16 GB DDR4 RAM","Windows 11 Operating System"
"23","HP 250R G9 Intel Core i3 13th Gen i3-1315U up to 4.5 GHz with Intel Turbo Boost - (16 GB/512 GB SSD/Wi...","₹34,990","16 GB DDR4 RAM","16 GB DDR4 RAM","64 bit Windows 11 Operating System"
"24","ASUS Vivobook 15 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ2325WS Th...","₹34,950","16 GB DDR4 RAM","16 GB DDR4 RAM","Windows 11 Home Operating System"
